Easy
[What is the result of 96 + 26?, 150, 60], [122, 10, 1], [120, -10, 0], [112, -10, 0], [130, -10, 0]
[If sets A = {3; 4; 5; 6} and set B = {2; 4; 6; 8}. Find the difference (A - B), 150, 60], [{3; 5}, 10, 1], [{2; 3; 4; 5; 6; 8}, -10, 0], [{2; 4; 6; 8}, -10, 0], [{3; 4; 5; 6}, -10, 0]
[If Set A = {2; 4; 6; 8; 10; 12} and set B = {3; 6; 9; 12; 15}. Find (B - A), 150, 60], [{15}, 10, 1], [{12}, -10, 0], [{3; 9; 15}, -10, 0], [{6; 12}, -10, 0]
[If Set A = {2; 4; 6; 8; 10; 12}; and set C = {1; 4; 7; 10; 13; 16}. Find (A - C), 150, 60], [{2; 6; 8; 12}, 10, 1], [{1; 2; 4; 6; 7; 8; 10; 12; 13; 16}, -10, 0], [{1; 4; 7; 10; 13; 16}, -10, 0], [{2; 4; 6; 8; 10; 12}, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7} Find A ∪ B, 150, 60], [{2; 3; 4; 5; c; d; e; f}, 10, 1], [{c; d; e; f}, -10, 0], [{2; 3; 4; 5} , -10, 0], [{4; 5}, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. Find A ∪ C, 150, 60], [{2; 3; 4; 5; 6; 7}, 10, 1], [{}, -10, 0], [{4; 5}, -10, 0], [{2; 3; 4; 5}, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. Find B ∪ C, 150, 60], [{}, 10, 1], [{4; 5}, -10, 0], [{2; 3; 4; 5; c; d; e; f}, -10, 0], [{2; 3; 4; 5}, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. Find the cardinality of A, 150, 60], [4, 10, 1], [2, -10, 0], [1, -10, 0], [3, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. Find A ∩ B, 150, 60], [{}, 10, 1], [{2; 3; 4; 5}, -10, 0], [{c; d; e; f}, -10, 0], [{2; 3; 4; 5; c; d; e; f}, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. What is the cardinality of set B?, 150, 60], [4, 10, 1], [3, -10, 0], [2, -10, 0], [1, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. What is A ∩ C?, 150, 60], [{4; 5}, 10, 1], [{}, -10, 0], [{2; 3}, -10, 0], [{6; 7}, -10, 0]
[If Sets A = {2; 3; 4; 5}; B ={c; d; e; f} and C = {4; 5; 6; 7}. Find B ∩ C?, 150, 60], [None of the above, 10, 1], [{}, -10, 0], [{4; 5}, -10, 0], [{c; d; e; f}, -10, 0]
[Let U = {1; 2; 3; 4; 5; 6; 7; 8; 9}; A = {1; 2; 3; 4} and B = {2; 4; 6; 8}. Find A’, 150, 60], [{5; 6; 7; 8; 9}, 10, 1], [{2; 3; 4; 5; 6; 7; 8; 9}, -10, 0], [{1; 3; 5; 7; 9}, -10, 0], [{1; 2; 3; 4; 5; 6; 7; 8; 9}, -10, 0]
[Let U = {1; 2; 3; 4; 5; 6; 7; 8; 9}; A = {1; 2; 3; 4} and B = {2; 4; 6; 8}. Find B’, 150, 60], [{1; 3; 5; 7}, 10, 1], [{1; 2; 3; 4}, -10, 0], [{2; 4; 6; 8}, -10, 0], [{2; 4; 6; 8; 10}, -10, 0]
[If P = {a; c; d ; m} Q = {c; e; m; x} and R = {a; e; i; o}. Find P - R, 150, 60], [{c; d; m}, 10, 1], [{c; e; m; x}, -10, 0], [{a; e; i; o}, -10, 0], [{a; c; d ; m}, -10, 0]
[If P = {a; c; d ; m} Q = {c; e; m; x} and R = {a; e; i; o}. Find Q - P, 150, 60], [{e; x}, 10, 1], [{a; e; i; o}, -10, 0], [{a; c; d; m}, -10, 0], [{c; d; m}, -10, 0]
[If P = {a; c; d ; m}; Q = {c; e; m; x} and R = {a; e; i; o}. Find R - Q, 150, 60], [{a; i; o}, 10, 1], [{c; e; m; x}, -10, 0], [{c; d; m}, -10, 0], [{e; x}, -10, 0]
[Let A = {a; b; c; d; e; f} and B = {b; d; f; g}. Find A - B, 150, 60], [{a; c; e}, 10, 1], [{b; d; f}, -10, 0], [{g}, -10, 0], [{b; d; f; g}, -10, 0]
[Let A = {a; b; c; d; e; f} and B = {b; d; f; g}. Find B - A, 150, 60], [{g}, 10, 1], [{b; d; f; g}, -10, 0], [{a; b; c; d; e; f}, -10, 0], [{a; c; e}, -10, 0]
[If P = {11; 12; 13; 14; 15} Q = {10; 12; 14; 16; 18} R = {7; 9; 11; 14; 18; 20}. Find P - R , 150, 60], [{12; 13; 15}, 10, 1], [{7; 9; 11; 14; 18; 20}, -10, 0], [{11; 12; 13; 14; 15}, -10, 0], [{10; 12; 14; 16; 18}, -10, 0]
[P = {11; 12; 13; 14; 15} Q = {10; 12; 14; 16; 18} R = {7; 9; 11; 14; 18; 20}. Find R - Q, 150, 60], [{7; 9; 11; 20}, 10, 1], [{7; 9; 15}, -10, 0], [{11; 12; 14; 18; 20}, -10, 0], [{12; 13; 15}, -10, 0]
[If P = {11; 12; 13; 14; 15} Q = {10; 12; 14; 16; 18} R = {7; 9; 11; 14; 18; 20} Find R - P, 150, 60], [{7; 9; 18; 20}, 10, 1], [{12; 13; 15}, -10, 0], [{7; 9; 15}, -10, 0], [{11; 12; 13; 14; 15}, -10, 0]
[If P = {11; 12; 13; 14; 15} Q = {10; 12; 14; 16; 18} R = {7; 9; 11; 14; 18; 20} Find Q - R, 150, 60], [{10; 12; 16}, 10, 1], [{11; 12; 13; 14; 15}, -10, 0], [{12; 13; 15}, -10, 0], [{7; 9; 18; 20}, -10, 0]
[If P = {11; 12; 13; 14; 15} Q = {10; 12; 14; 16; 18} R = {7; 9; 11; 14; 18; 20} Find Q - P, 150, 60], [{10; 16; 18}, 10, 1], [{10; 12; 16}, -10, 0], [{7; 9; 18; 20}, -10, 0], [{12; 13; 15}, -10, 0]
[if P = {11; 12; 13; 14; 15} Q = {10; 12; 14; 16; 18} R = {7; 9; 11; 14; 18; 20} Find P - Q, 150, 60], [{11; 13; 15}, 10, 1], [{10; 16; 18}, -10, 0], [{7; 9; 18; 20}, -10, 0], [{10; 12; 16}, -10, 0]
[What is the cardinality of  A = {2; 4; 5; 9; 15}, 150, 60], [5, 10, 1], [4, -10, 0], [3, -10, 0], [9, -10, 0]
[What is the cardinality of B = {2; 3; 4; 5; c; d; e; f}, 150, 60], [8, 10, 1], [2, -10, 0], [1, -10, 0], [4, -10, 0]
[What is the cardinality of R = {2; 3; 4; 6; 8; 9; 10; 12; 15}, 150, 60], [9, 10, 1], [3, -10, 0], [6, -10, 0], [8, -10, 0]
[what is the cardinality of Set D = {3; 3; 5; 6; 7; 7; 9}, 150, 60], [5, 10, 1], [3, -10, 0], [6, -10, 0], [7, -10, 0]
[what is the cardinality of Y = {5; 6; 6; 7; 11; 6; 13; 11; 8}, 150, 60], [6, 10, 1], [11, -10, 0], [9, -10, 0], [8, -10, 0]
[what is the cardinal number of Z = {21; 28; 35; 42; 49}, 150, 60], [5, 10, 1], [4, -10, 0], [6, -10, 0], [3, -10, 0]
[Which of the following has a cardinal number of 3?, 150, 60], [{1; 7; 10}, 10, 1], [{3; 4; 5; 6}, -10, 0], [{3; 3; 9}, -10, 0], [{1; 1; 1; 3; 4; 7}, -10, 0]
[Which of the following has a cardinal number of 6?, 150, 60], [{1; 3; 5; 6; 6; 7; 10}, 10, 1], [{10; 11; 12; 12}, -10, 0], [{10; 11; 12; 15}, -10, 0], [{3; 6; 9; 12}, -10, 0]
[Which of the following has a cardinal number of 2?, 150, 60], [None of the above, 10, 1], [{10; 20; 23}, -10, 0], [{1; 2; 2; 3}, -10, 0], [{5; 8; 9; 10}, -10, 0]
[Which of the following has a cardinal number of 4?, 150, 60], [{2; 5; 6; 9}, 10, 1], [{4; 7; 8; 9; 10}, -10, 0], [{25; 30}, -10, 0], [{1; 6; 8}, -10, 0]
[Which of the following has a cardinality number of 7?, 150, 60], [{31; 33; 34; 35; 37; 38; 39}, 10, 1], [{30; 40; 44; 52}, -10, 0], [{8; 24; 40; 64; 128}, -10, 0], [{70; 86; 88; 90; 94; 95}, -10, 0]
[what is the cardinal number of {a; b; b; c; d; e; f; g; h}?, 150, 60], [8, 10, 1], [7, -10, 0], [9, -10, 0], [6, -10, 0]
[what is the cardinal number of A = {a; b; c} union B = {b; c; d}, 150, 60], [4, 10, 1], [2, -10, 0], [3, -10, 0], [6, -10, 0]
[what is the cardinal number of G = {6; 2; 5; 7; 9; 9; 11}, 150, 60], [6, 10, 1], [4, -10, 0], [5, -10, 0], [3, -10, 0]
[what is the cardinal number of V = {a; e; b; g; f; l}, 150, 60], [6, 10, 1], [7, -10, 0], [3, -10, 0], [4, -10, 0]
[Which elements are in B = {a; c; d; e; f; h; j}; but not found in C = {g; f; h; c}, 150, 60], [{a; d; e; j}, 10, 1], [{f; h; c}, -10, 0], [{g}, -10, 0], [None of the above, -10, 0]
[Which elements are in X = {v; g; b; r}; but not found in Z = {a; l; b; r; e}, 150, 60], [{v; g}, 10, 1], [{a; l; e}, -10, 0], [None of the Above, -10, 0], [{v; g; b; r; a; l; e}, -10, 0]
[which elements are in N = {15; 16; 17; 19; 24}; but not found in M = {15; 24; 32; 36}, 150, 60], [{16; 17; 19}, 10, 1], [{32; 36}, -10, 0], [{15; 16; 17; 19}, -10, 0], [{24}, -10, 0]
[Which of the elements are in F = {l; m; n; o; p}; but not found in G = {e; l; r; m; p; o}, 150, 60], [{n}, 10, 1], [{e; r; l; p}, -10, 0], [{e; r}, -10, 0], [None of the above, -10, 0]
[What is the absolute value of -7? , 150, 60], [7, 10, 1], [-7, -10, 0], [0, -10, 0], [-|-7|, -10, 0]
[What is the absolute value of 0? , 150, 60], [0, 10, 1], [1, -10, 0], [-1, -10, 0], [undefined, -10, 0]
[Given the Universal Set  U = {a; b; c; d; e; f}. Find the Complement of Set E = {a; b; c; d}, 150, 60], [{e; f} , 10, 1], [{a; b; c; d}, -10, 0], [{a; b; c; d; e; f}, -10, 0], [{}, -10, 0]
[If set X = {a; b; c} and set Y = {c; d; e}; find X - Y (the set difference), 150, 60], [{a; b}, 10, 1], [{a; b; c; d; e} , -10, 0], [{d; e}, -10, 0], [{c}, -10, 0]
[If |x| = 6; what are the possible values of x? , 150, 60], [x = 6 and x = -6, 10, 1], [x = 6, -10, 0], [x = -6, -10, 0], [x = 0, -10, 0]
[What is the power set of the set {1; 2}?, 150, 60], [{{}; {1}; {2}; {1; 2}}, 10, 1], [{{1; 2}}, -10, 0], [{1; 2} , -10, 0], [{}, -10, 0]
[What is the absolute value of the midpoint between -5 and 5 on a number line?, 150, 60], [0, 10, 1], [5, -10, 0], [-5, -10, 0], [2.5, -10, 0]
[In set theory; what does the union of two sets represent?, 150, 60], [All elements from both sets; with duplicates removed, 10, 1], [The empty set, -10, 0], [The common elements between the sets, -10, 0], [The elements that are unique to both sets, -10, 0]
[If A = {a; b; c; d} and B = {b; c; d; e}; find the intersection (A ∩ B), 150, 60], [{b; c; d}, 10, 1], [{a; b; c; d; e}, -10, 0], [{a; e}, -10, 0], [{}, -10, 0]
[Define the complement of set A; denoted as A'., 150, 60], [All elements not in A, 10, 1], [All prime numbers in A, -10, 0], [All even numbers in A, -10, 0], [All elements in A, -10, 0]
[What is the intersection of the sets {1; 2; 3; 4} and {3; 4; 5; 6}?, 150, 60], [{3; 4}, 10, 1], [{1; 2; 3; 4; 5; 6}, -10, 0], [{1; 2; 5; 6}, -10, 0], [{}, -10, 0]
[If the universal set is U = {1; 2; 3; 4; 5} and A = {1; 3; 5}; Find A' (the complement of A), 150, 60], [{2; 4} , 10, 1], [{1; 3; 5}, -10, 0], [{1; 2; 3; 4; 5}, -10, 0], [{}, -10, 0]
[If set A is a subset of set B; which of the following statements is true?, 150, 60], [A is a proper subset of B, 10, 1], [A and B are equal sets, -10, 0], [B is a proper subset of A, -10, 0], [B is a subset of A, -10, 0]
[On a number line; if a point is 12 units away from 0; find the absolute value, 150, 60], [12, 10, 1], [-12, -10, 0], [0, -10, 0], [24, -10, 0]
[What is the absolute value of -25?, 150, 60], [25, 10, 1], [-25, -10, 0], [0, -10, 0], [-50, -10, 0]
[If a point is 30 units to the right of 0; what is its absolute value?, 150, 60], [30, 10, 1], [-30, -10, 0], [0, -10, 0], [60, -10, 0]
[If |x| = 9; what are the possible values of x?, 150, 60], [x = 9 and x = -9, 10, 1], [9, -10, 0], [-9, -10, 0], [0, -10, 0]
[If |a| = 5 and |b| = 3; what is the absolute value of |a + b|? , 150, 60], [8, 10, 1], [5, -10, 0], [2, -10, 0], [3, -10, 0]
[On a number line what is the absolute value of the midpoint between -2 and 6, 150, 60], [4, 10, 1], [8, -10, 0], [0, -10, 0], [-8, -10, 0]
[What is the value of a number that is 15 points to the left of 0 on a number line?, 150, 60], [-15, 10, 1], [15, -10, 0], [None of the above, -10, 0], [0, -10, 0]
[On a number line what is the value of the midpoint between -5 and 10?, 150, 60], [2.5, 10, 1], [5, -10, 0], [-2.5, -10, 0], [-5, -10, 0]
[If |a| = 5 and |b| = -7; what is the absolute value of |a + b|?, 150, 60], [2, 10, 1], [-2, -10, 0], [7, -10, 0], [5, -10, 0]
[If |a| = 2 and |b| = -10; what is the absolute value of |a + b|?, 150, 60], [8, 10, 1], [-8, -10, 0], [-12, -10, 0], [None of the above, -10, 0]
[If |a| = 24 and |b| = -15; what is the absolute value of |a + b|?, 150, 60], [9, 10, 1], [3, -10, 0], [6, -10, 0], [None of the above, -10, 0]
[If |a| = -29 and |b| = 15; what is the absolute value of |a + b|?, 150, 60], [14, 10, 1], [15, -10, 0], [16, -10, 0], [None of the above, -10, 0]
[If |a| = -29 and |b| = 3; what is the absolute value of |a + b|?, 150, 60], [26, 10, 1], [0, -10, 0], [32, -10, 0], [None of the above, -10, 0]
[If |a| = -57 and |b| = 25; what is the absolute value of |a + b|?, 150, 60], [32, 10, 1], [None of the above, -10, 0], [25, -10, 0], [24, -10, 0]
[If |a| = 57 and |b| = 39; what is the absolute value of |a + b|?, 150, 60], [96, 10, 1], [68, -10, 0], [98, -10, 0], [90, -10, 0]
[If a point is 30 units to the right of 0; what is its absolute value?, 150, 60], [30, 10, 1], [-30, -10, 0], [0, -10, 0], [60, -10, 0]
[If |a| = 17 and |b| = 69; what is the absolute value of |a + b|?, 150, 60], [86, 10, 1], [89, -10, 0], [80, -10, 0], [81, -10, 0]
[If |a| = 20 and |b| = -67; what is the absolute value of |a + b|?, 150, 60], [47, 10, 1], [37, -10, 0], [87, -10, 0], [None of the above, -10, 0]
[If |a| = -20 and |b| = 37; what is the absolute value of |a + b|?, 150, 60], [17, 10, 1], [15, -10, 0], [20, -10, 0], [None of the above, -10, 0]
[If |a| = 20 and |b| = -46; what is the absolute value of |a + b|?, 150, 60], [26, 10, 1], [30, -10, 0], [24, -10, 0], [23, -10, 0]
[What is the result of -37 + 52?, 150, 60], [None of the above, 10, 1], [89, -10, 0], [88, -10, 0], [80, -10, 0]
[What is the result of -76 + (-29), 150, 60], [-105, 10, 1], [None of the above, -10, 0], [100, -10, 0], [104, -10, 0]
[What is the result of 48 + (-51)?, 150, 60], [-3, 10, 1], [3, -10, 0], [0, -10, 0], [None of the above, -10, 0]
[What is the result of 50 - (-23), 150, 60], [73, 10, 1], [72, -10, 0], [71, -10, 0], [63, -10, 0]
[What is the result of 53 - (-13), 150, 60], [66, 10, 1], [40, -10, 0], [43, -10, 0], [-66, -10, 0]
[What is the result of 27 + 18, 150, 60], [45, 10, 1], [46, -10, 0], [44, -10, 0], [None of the Above, -10, 0]
[What is the result of 19 +32, 150, 60], [51, 10, 1], [-51, -10, 0], [50, -10, 0], [41, -10, 0]
[What is the result of 50 + (-68), 150, 60], [-18, 10, 1], [18, -10, 0], [20, -10, 0], [None of the above, -10, 0]
[What is the result of -91 + 33, 150, 60], [-58, 10, 1], [58, -10, 0], [-68, -10, 0], [68, -10, 0]
[What is the result of 35 - 9, 150, 60], [26, 10, 1], [27, -10, 0], [44, -10, 0], [33, -10, 0]
[What is the result of 33 - 22, 150, 60], [11, 10, 1], [-11, -10, 0], [10, -10, 0], [-10, -10, 0]
[What is the result of 45 - 28, 150, 60], [17, 10, 1], [-17, -10, 0], [-18, -10, 0], [14, -10, 0]
[What is the result of 15 + 84, 150, 60], [99, 10, 1], [98, -10, 0], [97, -10, 0], [None of the above, -10, 0]
[What is the result of -23 + (-71), 150, 60], [-94, 10, 1], [94, -10, 0], [-89, -10, 0], [99, -10, 0]
[What is the result of 0 + (-15), 150, 60], [-15, 10, 1], [15, -10, 0], [-16, -10, 0], [0, -10, 0]
[What is the result of -16 + 16, 150, 60], [0, 10, 1], [-1, -10, 0], [-16, -10, 0], [1, -10, 0]
[What is the result of 25 + (-30)?, 150, 60], [-5, 10, 1], [4, -10, 0], [5, -10, 0], [6, -10, 0]
[What is the result of 75 + (-20)?, 150, 60], [55, 10, 1], [50, -10, 0], [-55, -10, 0], [None of the above, -10, 0]
[What is the result of 75 -50?, 150, 60], [25, 10, 1], [23, -10, 0], [50, -10, 0], [-25, -10, 0]
[What is the result of 22 + 22?, 150, 60], [44, 10, 1], [-44, -10, 0], [40, -10, 0], [45, -10, 0]
[What is the result of -5 + (-10)?, 150, 60], [-15, 10, 1], [15, -10, 0], [5, -10, 0], [10, -10, 0]
[What is the result of -12 + 47?, 150, 60], [35, 10, 1], [54, -10, 0], [24, -10, 0], [45, -10, 0]
[What is the result of 60 - (-20)?, 150, 60], [80, 10, 1], [-80, -10, 0], [-8, -10, 0], [None of the above, -10, 0]
[What is the result of -40 + (-15)?, 150, 60], [-55, 10, 1], [55, -10, 0], [50, -10, 0], [32, -10, 0]
[What is the result of -32 + 0?, 150, 60], [-32, 10, 1], [32, -10, 0], [0, -10, 0], [64, -10, 0]
[What is the result of -7 - (-7)?, 150, 60], [0, 10, 1], [7, -10, 0], [-7, -10, 0], [-14, -10, 0]
[What is the result of -9 + 3?, 150, 60], [-6, 10, 1], [12, -10, 0], [-12, -10, 0], [-9, -10, 0]
[What is the result of 24 + 24?, 150, 60], [48, 10, 1], [45, -10, 0], [50, -10, 0], [46, -10, 0]
[What is the result of 35 - 20?, 150, 60], [15, 10, 1], [17, -10, 0], [-15, -10, 0], [5, -10, 0]
[What is the result -6 + (-9)?, 150, 60], [-15, 10, 1], [15, -10, 0], [43, -10, 0], [-5, -10, 0]
[What is the result of 28 - 59?, 150, 60], [-31, 10, 1], [31, -10, 0], [33, -10, 0], [None of the above, -10, 0]
[What is the result of 59 - 28?, 150, 60], [31, 10, 1], [-33, -10, 0], [30, -10, 0], [32, -10, 0]
[What is the result of -99 + 23?, 150, 60], [-76, 10, 1], [75, -10, 0], [70, -10, 0], [76, -10, 0]
[What is the result of -91 + 7?, 150, 60], [-84, 10, 1], [-80, -10, 0], [-98, -10, 0], [None of the above, -10, 0]
[what is the result of -48 - (-51)?, 150, 60], [3, 10, 1], [-3, -10, 0], [-1, -10, 0], [None of the above, -10, 0]
[Which of the following is the result of 63 - (-57)?, 150, 60], [120, 10, 1], [129, -10, 0], [110, -10, 0], [-129, -10, 0]
[What is the result of -42 - (18)?, 150, 60], [-24, 10, 1], [24, -10, 0], [6, -10, 0], [-6, -10, 0]
[What is the result of -24 -(-18)?, 150, 60], [-6, 10, 1], [6, -10, 0], [-10, -10, 0], [0, -10, 0]
[What is the result of -22 + 11?, 150, 60], [-11, 10, 1], [11, -10, 0], [10, -10, 0], [None of the above, -10, 0]
[What is the result of -8 + 7?, 150, 60], [-1, 10, 1], [1, -10, 0], [11, -10, 0], [10, -10, 0]
[What is the result of 32 + (-19)?, 150, 60], [13, 10, 1], [-15, -10, 0], [51, -10, 0], [-13, -10, 0]
[What is the result of -42 - 18?, 150, 60], [-60, 10, 1], [60, -10, 0], [50, -10, 0], [-72, -10, 0]
[What is the result of -15 + 84?, 150, 60], [69, 10, 1], [-15 -10, 0], [59, -10, 0], [49, -10, 0]
[What is the result of 47 - (-36)?, 150, 60], [83, 10, 1], [-36, -10, 0], [38, -10, 0], [None of the above, -10, 0]
[What is the result of 19 + 32?, 150, 60], [51, 10, 1], [40, -10, 0], [60, -10, 0], [50, -10, 0]
[What is the result of 35 - (-9)?, 150, 60], [44, 10, 1], [40, -10, 0], [34, -10, 0], [-44, -10, 0]
[What is the result of 76 + (-29)?, 150, 60], [47, 10, 1], [50, -10, 0], [57, -10, 0], [105, -10, 0]
[What is the result of -70 + 12?, 150, 60], [-58, 10, 1], [58, -10, 0], [85, -10, 0], [-82, -10, 0]
[What is the result of -99 + 90?, 150, 60], [-9, 10, 1], [9, -10, 0], [10, -10, 0], [None of the above, -10, 0]
[What is the result of -90 + 56?, 150, 60], [-34, 10, 1], [34, -10, 0], [30, -10, 0], [-146, -10, 0]
[What is the result of -76 + (-89)?, 150, 60], [-165, 10, 1], [160, -10, 0], [165, -10, 0], [None of the above, -10, 0]
[What is the result of 95 - 88?, 150, 60], [7, 10, 1], [-7, -10, 0], [14, -10, 0], [None of the above, -10, 0]
[What is the result of -5 + 74?, 150, 60], [69, 10, 1], [-69, -10, 0], [79, -10, 0], [-79, -10, 0]
[What is the result of 92 - (-88)?, 150, 60], [180, 10, 1], [-180, -10, 0], [190, -10, 0], [200, -10, 0]
[What is the result of 99 - (-25)?, 150, 60], [124, 10, 1], [125, -10, 0], [120, -10, 0], [123, -10, 0]
[What is the result of 90 - (-80)?, 150, 60], [170, 10, 1], [190, -10, 0], [180, -10, 0], [160, -10, 0]
[What is the result of -92 + 75?, 150, 60], [-17, 10, 1], [17, -10, 0], [20, -10, 0], [18, -10, 0]
